patient004\patient004_frame01.nii,patient004\patient004_frame01_gt.nii
patient004\patient004_frame15.nii,patient004\patient004_frame15_gt.nii
patient065\patient065_frame01.nii,patient065\patient065_frame01_gt.nii
patient065\patient065_frame14.nii,patient065\patient065_frame14_gt.nii
patient100\patient100_frame01.nii,patient100\patient100_frame01_gt.nii
patient100\patient100_frame13.nii,patient100\patient100_frame13_gt.nii
patient035\patient035_frame01.nii,patient035\patient035_frame01_gt.nii
patient035\patient035_frame11.nii,patient035\patient035_frame11_gt.nii
patient063\patient063_frame01.nii,patient063\patient063_frame01_gt.nii
patient063\patient063_frame16.nii,patient063\patient063_frame16_gt.nii
patient031\patient031_frame01.nii,patient031\patient031_frame01_gt.nii
patient031\patient031_frame10.nii,patient031\patient031_frame10_gt.nii
patient074\patient074_frame01.nii,patient074\patient074_frame01_gt.nii
patient074\patient074_frame12.nii,patient074\patient074_frame12_gt.nii
patient096\patient096_frame01.nii,patient096\patient096_frame01_gt.nii
patient096\patient096_frame08.nii,patient096\patient096_frame08_gt.nii
patient050\patient050_frame01.nii,patient050\patient050_frame01_gt.nii
patient050\patient050_frame12.nii,patient050\patient050_frame12_gt.nii
patient001\patient001_frame01.nii,patient001\patient001_frame01_gt.nii
patient001\patient001_frame12.nii,patient001\patient001_frame12_gt.nii
patient049\patient049_frame01.nii,patient049\patient049_frame01_gt.nii
patient049\patient049_frame11.nii,patient049\patient049_frame11_gt.nii
patient091\patient091_frame01.nii,patient091\patient091_frame01_gt.nii
patient091\patient091_frame09.nii,patient091\patient091_frame09_gt.nii
patient086\patient086_frame01.nii,patient086\patient086_frame01_gt.nii
patient086\patient086_frame08.nii,patient086\patient086_frame08_gt.nii
patient073\patient073_frame01.nii,patient073\patient073_frame01_gt.nii
patient073\patient073_frame10.nii,patient073\patient073_frame10_gt.nii
patient077\patient077_frame01.nii,patient077\patient077_frame01_gt.nii
patient077\patient077_frame09.nii,patient077\patient077_frame09_gt.nii
patient007\patient007_frame01.nii,patient007\patient007_frame01_gt.nii
patient007\patient007_frame07.nii,patient007\patient007_frame07_gt.nii
patient057\patient057_frame01.nii,patient057\patient057_frame01_gt.nii
patient057\patient057_frame09.nii,patient057\patient057_frame09_gt.nii
patient095\patient095_frame01.nii,patient095\patient095_frame01_gt.nii
patient095\patient095_frame12.nii,patient095\patient095_frame12_gt.nii
patient006\patient006_frame01.nii,patient006\patient006_frame01_gt.nii
patient006\patient006_frame16.nii,patient006\patient006_frame16_gt.nii
patient087\patient087_frame01.nii,patient087\patient087_frame01_gt.nii
patient087\patient087_frame10.nii,patient087\patient087_frame10_gt.nii
patient038\patient038_frame01.nii,patient038\patient038_frame01_gt.nii
patient038\patient038_frame11.nii,patient038\patient038_frame11_gt.nii
patient011\patient011_frame01.nii,patient011\patient011_frame01_gt.nii
patient011\patient011_frame08.nii,patient011\patient011_frame08_gt.nii
patient029\patient029_frame01.nii,patient029\patient029_frame01_gt.nii
patient029\patient029_frame12.nii,patient029\patient029_frame12_gt.nii
patient089\patient089_frame01.nii,patient089\patient089_frame01_gt.nii
patient089\patient089_frame10.nii,patient089\patient089_frame10_gt.nii
patient044\patient044_frame01.nii,patient044\patient044_frame01_gt.nii
patient044\patient044_frame11.nii,patient044\patient044_frame11_gt.nii
patient005\patient005_frame01.nii,patient005\patient005_frame01_gt.nii
patient005\patient005_frame13.nii,patient005\patient005_frame13_gt.nii
patient083\patient083_frame01.nii,patient083\patient083_frame01_gt.nii
patient083\patient083_frame08.nii,patient083\patient083_frame08_gt.nii
patient041\patient041_frame01.nii,patient041\patient041_frame01_gt.nii
patient041\patient041_frame11.nii,patient041\patient041_frame11_gt.nii
patient020\patient020_frame01.nii,patient020\patient020_frame01_gt.nii
patient020\patient020_frame11.nii,patient020\patient020_frame11_gt.nii
patient036\patient036_frame01.nii,patient036\patient036_frame01_gt.nii
patient036\patient036_frame12.nii,patient036\patient036_frame12_gt.nii
patient012\patient012_frame01.nii,patient012\patient012_frame01_gt.nii
patient012\patient012_frame13.nii,patient012\patient012_frame13_gt.nii
patient059\patient059_frame01.nii,patient059\patient059_frame01_gt.nii
patient059\patient059_frame09.nii,patient059\patient059_frame09_gt.nii
patient009\patient009_frame01.nii,patient009\patient009_frame01_gt.nii
patient009\patient009_frame13.nii,patient009\patient009_frame13_gt.nii
patient099\patient099_frame01.nii,patient099\patient099_frame01_gt.nii
patient099\patient099_frame09.nii,patient099\patient099_frame09_gt.nii
patient030\patient030_frame01.nii,patient030\patient030_frame01_gt.nii
patient030\patient030_frame12.nii,patient030\patient030_frame12_gt.nii
patient066\patient066_frame01.nii,patient066\patient066_frame01_gt.nii
patient066\patient066_frame11.nii,patient066\patient066_frame11_gt.nii
patient047\patient047_frame01.nii,patient047\patient047_frame01_gt.nii
patient047\patient047_frame09.nii,patient047\patient047_frame09_gt.nii
patient062\patient062_frame01.nii,patient062\patient062_frame01_gt.nii
patient062\patient062_frame09.nii,patient062\patient062_frame09_gt.nii
patient080\patient080_frame01.nii,patient080\patient080_frame01_gt.nii
patient080\patient080_frame10.nii,patient080\patient080_frame10_gt.nii
patient081\patient081_frame01.nii,patient081\patient081_frame01_gt.nii
patient081\patient081_frame07.nii,patient081\patient081_frame07_gt.nii
patient052\patient052_frame01.nii,patient052\patient052_frame01_gt.nii
patient052\patient052_frame09.nii,patient052\patient052_frame09_gt.nii
patient084\patient084_frame01.nii,patient084\patient084_frame01_gt.nii
patient084\patient084_frame10.nii,patient084\patient084_frame10_gt.nii
patient055\patient055_frame01.nii,patient055\patient055_frame01_gt.nii
patient055\patient055_frame10.nii,patient055\patient055_frame10_gt.nii
patient033\patient033_frame01.nii,patient033\patient033_frame01_gt.nii
patient033\patient033_frame14.nii,patient033\patient033_frame14_gt.nii
patient017\patient017_frame01.nii,patient017\patient017_frame01_gt.nii
patient017\patient017_frame09.nii,patient017\patient017_frame09_gt.nii
patient002\patient002_frame01.nii,patient002\patient002_frame01_gt.nii
patient002\patient002_frame12.nii,patient002\patient002_frame12_gt.nii
patient078\patient078_frame01.nii,patient078\patient078_frame01_gt.nii
patient078\patient078_frame09.nii,patient078\patient078_frame09_gt.nii
patient048\patient048_frame01.nii,patient048\patient048_frame01_gt.nii
patient048\patient048_frame08.nii,patient048\patient048_frame08_gt.nii
patient003\patient003_frame01.nii,patient003\patient003_frame01_gt.nii
patient003\patient003_frame15.nii,patient003\patient003_frame15_gt.nii
patient071\patient071_frame01.nii,patient071\patient071_frame01_gt.nii
patient071\patient071_frame09.nii,patient071\patient071_frame09_gt.nii
patient015\patient015_frame01.nii,patient015\patient015_frame01_gt.nii
patient015\patient015_frame10.nii,patient015\patient015_frame10_gt.nii
patient056\patient056_frame01.nii,patient056\patient056_frame01_gt.nii
patient056\patient056_frame12.nii,patient056\patient056_frame12_gt.nii
patient014\patient014_frame01.nii,patient014\patient014_frame01_gt.nii
patient014\patient014_frame13.nii,patient014\patient014_frame13_gt.nii
patient037\patient037_frame01.nii,patient037\patient037_frame01_gt.nii
